name,user rating,Price,MS Office Provided,Dedicated Graphic Memory Capacity,SSD Capacity,Graphic Processor,Number of Cores,Operating System,Refresh Rate,Brand,Professional,Gaming,EveryDay,Processor,RAM(in GB),Price_Normalized,SSD Capacity (In Gb),SSD Capacity Normalized,Normalized review,Number of Cores_Normalized,HDD Capacity,HDD Capacity_Normalized,Price_Category,Pocket Friendly,Mid Range,High End,laptop_Link
"acer nitro ryzen 5 hexa core 5600h - (8 gb/1 tb hdd/256 gb ssd/windows 10 home/4 gb graphics/nvidia geforce rtx 3050/144 hz) an515-45/an515-45-r7z1 gaming laptop  (15.6 inch, black, 2.4 kg)",4.5,72990,0,4 gb,256 gb,nvidia geforce rtx 3050,6,windows,144 hz,acer,0,1,0,,8,0.199300699300699,256,0.0666666666666667,0.84375,0.384615384615385,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/51uVt6tSRPL._AC_UL320_.jpg
"acer aspire 7 core i5 10th gen - (8 gb/512 gb ssd/windows 10 home/4 gb graphics/nvidia geforce gtx 1650) a715-75g-50ta/ a715-75g-41g/ a715-75g-52aa gaming laptop  (15.6 inch, black, 2.15 kg)",4.4,54990,0,4 gb,512 gb,nvidia geforce gtx 1650,6,windows,,acer,0,1,0,core i5 10th gen,8,0.136363636363636,512,0.2,0.8125,0.384615384615385,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/51uVt6tSRPL._AC_UL320_.jpg
"acer nitro 5 ryzen 7 octa core 5800h - (16 gb/1 tb hdd/256 gb ssd/windows 10 home/6 gb graphics/nvidia geforce rtx 3060/144 hz) an515-45/ an515-45-r2gl gaming laptop  (15.6 inch, black, 2.4 kg)",4.4,94990,0,6 gb,256 gb,nvidia geforce rtx 3060,8,windows,144 hz,acer,0,1,0,,16,0.276223776223776,256,0.0666666666666667,0.8125,0.538461538461539,0,0,High End,0,0,1,https://m.media-amazon.com/images/I/51GGNToj7aL._AC_UL320_.jpg
"acer aspire 5 core i5 11th gen - (8 gb/512 gb ssd/windows 10 home) a515-56-5695 thin and light laptop  (15.6 inch, silver, 1.65 kg, with ms office)",4.2,54990,1,0,512 gb,intel integrated iris xe,6,windows,,acer,1,0,1,core i5 11th gen,8,0.136363636363636,512,0.2,0.75,0.384615384615385,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/715Sum+EpLL._AC_UL320_.jpg
"acer nitro 5 ryzen 5 hexa core 4600h - (8 gb/1 tb hdd/256 gb ssd/windows 10 home/4 gb graphics/nvidia geforce gtx 1650) an515-44/ an515-44-r9qa / an515-44-r8vs gaming laptop  (15.6 inch, obsidian black, 2.3 kg)",4.5,60990,0,4 gb,256 gb,nvidia geforce gtx 1650,6,windows,,acer,0,1,0,,8,0.157342657342657,256,0.0666666666666667,0.84375,0.384615384615385,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/81TAh-cxQyL._AC_UL320_.jpg
"acer aspire 5 ryzen 7 octa core 5700u - (8 gb/512 gb ssd/windows 10 home) a515-45-r9px thin and light laptop  (15.6 inch, silver, 1.76 kg)",4.20623188405797,57990,0,0,512 gb,amd radeon amd,8,windows,,acer,1,0,1,,8,0.146853146853147,512,0.2,0.751947463768116,0.538461538461539,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/71IfO70KcRL._AC_UL320_.jpg
"acer aspire 5 ryzen 5 hexa core 5500u - (8 gb/512 gb ssd/windows 10 home) a515-45-r0hb thin and light laptop  (15.6 inch, silver, 1.76 kg)",4.3,49990,0,0,512 gb,amd radeon,6,windows,,acer,1,0,1,,8,0.118881118881119,512,0.2,0.78125,0.384615384615385,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/51uVt6tSRPL._AC_UL320_.jpg
"acer core i7 8th gen - (8 gb/1 tb hdd/windows 10 home) z2-485 thin and light laptop  (14 inch, black, 1.8 kg)",3.9,42990,0,0,,intel integrated uhd 620,,windows,,acer,1,0,1,core i7 8th gen,8,0.0944055944055944,,,0.65625,0,1,1,Pocket Friendly,1,0,0,https://m.media-amazon.com/images/I/51GGNToj7aL._AC_UL320_.jpg
"acer predator helios 300 octa core i7 10th gen - (16 gb/1 tb hdd/256 gb ssd/windows 10 home/6 gb graphics/nvidia geforce rtx 3060/144 hz) ph315-53 gaming laptop  (15.6 inch, black, 2.3 kg)",4.5,99990,0,6 gb,256 gb,nvidia geforce rtx 3060,8,windows,144 hz,acer,0,1,0,core i7 10th gen,16,0.293706293706294,256,0.0666666666666667,0.84375,0.538461538461539,0,0,High End,0,0,1,https://m.media-amazon.com/images/I/715Sum+EpLL._AC_UL320_.jpg
"acer nitro 5 ryzen 5 hexa core 5600h - (16 gb/1 tb hdd/256 gb ssd/windows 10 home/6 gb graphics/nvidia geforce rtx 3060/144 hz) an515-45-r3tc gaming laptop  (15.6 inch, black, 2.4 kg)",4.5,94990,0,6 gb,256 gb,nvidia geforce rtx 3060,6,windows,144 hz,acer,0,1,0,,16,0.276223776223776,256,0.0666666666666667,0.84375,0.384615384615385,0,0,High End,0,0,1,https://m.media-amazon.com/images/I/81TAh-cxQyL._AC_UL320_.jpg
"acer aspire 7 ryzen 5 hexa core 5500u - (8 gb/512 gb ssd/windows 10 home/4 gb graphics/nvidia geforce gtx 1650) a715-42g gaming laptop  (15.6 inch, black, 2.15 kg)",4.5,54990,0,4 gb,512 gb,nvidia geforce gtx 1650,6,windows,,acer,0,1,0,,8,0.136363636363636,512,0.2,0.84375,0.384615384615385,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/71IfO70KcRL._AC_UL320_.jpg
"acer predator triton 300 core i7 10th gen - (16 gb/2 tb ssd/windows 10 home/8 gb graphics/nvidia geforce rtx 2070 with max-q design) pt315-52 gaming laptop  (15.6 inch, black, 2.1 kg)",3.8,159990,0,8 gb,2 tb,nvidia geforce rtx 2070 with max-q design,6,windows,,acer,0,1,0,core i7 10th gen,16,0.503496503496504,2048,1,0.625,0.384615384615385,0,0,High End,0,0,1,https://m.media-amazon.com/images/I/51uVt6tSRPL._AC_UL320_.jpg
"acer aspire 3 core i5 10th gen - (8 gb/1 tb hdd/windows 10 home/2 gb graphics) a315-57g laptop  (15.6 inch, charcoal black, 1.9 kg)",3.2,45990,0,2 gb,,nvidia geforce gtx mx330,4,windows,,acer,1,1,1,core i5 10th gen,8,0.104895104895105,,,0.4375,0.230769230769231,1,1,Mid Range,0,1,0,https://m.media-amazon.com/images/I/81E2srXhKVL._AC_UL320_.jpg
